2026-06-13 02:27:56 | INFO     | pdf_reader | OCR available
2026-06-13 02:28:10 | INFO     | pdf_reader | Direct extraction: 5460 chars from 3 pages
2026-06-13 02:28:10 | INFO     | pipeline | Pipeline started
2026-06-13 02:28:10 | INFO     | pipeline | Validation passed | chars=5460
2026-06-13 02:28:10 | INFO     | orchestrator | Detecting document type | chars=5460
2026-06-13 02:28:12 | INFO     | orchestrator | Document type detected: NDA
2026-06-13 02:28:12 | INFO     | pipeline | Doc type: NDA
2026-06-13 02:28:12 | INFO     | risk_analyzer | Analyzing risks | doc_type=NDA | chars=5460
2026-06-13 02:28:17 | INFO     | risk_analyzer | Risks found: 9 | attempt=1
2026-06-13 02:28:17 | INFO     | pipeline | Risks found: 9
2026-06-13 02:28:20 | INFO     | simplifier | Simplified 9 clauses
2026-06-13 02:28:20 | INFO     | reporter | Report generated | doc=NDA | score=6.5 | high=3 | medium=2
2026-06-13 02:28:20 | INFO     | pipeline | Pipeline complete | step=complete
